stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
1,72,Matthew,Callan,"며칠 전 회사 근처 공원에서 점심을 먹고 있는데, 갑자기 비를 맞으며 떨고 있는 작은 강아지를 보게 되었어요. 처음엔 그냥 지나치려 했지만, 자꾸만 그 강아지가 생각나 마음이 편치 않았어요. 집에 돌아온 후에도 그 모습이 떠올라 인터넷으로 유기동물 보호소를 찾아보고, 보호소에서 생활하는 아이들의 사진과 사연을 읽으면서 결국 한 마리 입양을 결심하게 되었답니다.",화자가 유기동물 입양을 결심하게 된 계기는 무엇이었나요?,잘 모르겠음,공원에서 비를 맞는 강아지를 보고,친구가 강아지를 추천해서,인터넷에서 고양이 영상을 보고,2,공원에서 비를 맞는 강아지를 보고,0,day4block1/mixture/day4block1_stimulus1.wav
2,267,Sara,Paige,"며칠 전, 나와 오랜 시간을 함께 보냈던 고양이 미루를 떠나보냈다. 집에 돌아왔을 때 평소라면 현관 앞까지 달려와 반겨주던 미루가 보이지 않으니 집안이 유난히 조용하게 느껴졌다. 식사를 준비할 때마다 미루가 옆에서 조용히 기다리던 모습이 자꾸 생각나고, 밤에는 미루가 내 무릎에 기대 잠들던 감촉이 그리워진다. 미루와의 이별이 아직도 실감나지 않지만, 고양이와 함께 했던 따뜻한 기억을 소중히 간직하려고 한다.",발화자가 고양이 미루와 함께 했던 따뜻한 기억 중 언급하지 않은 것은 무엇인가요?,잘 모르겠음,현관 앞에서 반겨주던 모습,무릎에 기대 잠들던 감촉,정원에서 산책하던 모습,4,정원에서 산책하던 모습,0,day4block1/mixture/day4block1_stimulus2.wav
3,473,Liam,Rita,"며칠 전 회사에서 진행한 모바일 앱 개발 프로젝트가 드디어 마무리되었다. 초반엔 팀원들과 의견이 자주 엇갈려 일정이 조금 늦춰지기도 했지만, 매일 아침 짧은 회의를 통해 각자의 진행 상황을 공유하면서 점점 협업이 원활해졌다. 특히 사용자 피드백을 반영해 디자인을 두 번 수정했던 과정이 기억에 남는다. 완성된 앱을 직접 다운로드해보니 그동안의 노력이 떠올라 뿌듯했다.",프로젝트를 진행하며 팀이 협업을 원활하게 하기 위해 매일 아침 했던 일은 무엇이었나요?,잘 모르겠음,사용자 피드백 조사,팀원들과 짧은 회의,디자인 시안 제작,3,팀원들과 짧은 회의,0,day4block1/mixture/day4block1_stimulus3.wav
4,73,Slushy,Frankenstein,"도서관 앞 벤치에서 친구들과 늦은 오후까지 이야기를 나눈 적이 있다. 시험 기간이라 다들 스트레스가 많았지만, 그날만큼은 서로의 고민을 털어놓고 웃음도 참 많이 나왔다. 저녁에는 갑자기 내린 소나기를 피하려고 도서관 안으로 뛰어들었는데, 창밖을 보며 컵라면을 나눠 먹었던 기억이 아직도 생생하다. 그 순간만큼은 대학 생활의 모든 걱정을 잠시 잊을 수 있어 정말 행복했다.",발화자의 친구들과 함께한 가장 인상 깊은 순간은 무엇이었나요?,잘 모르겠음,소나기를 피하고 컵라면을 나눠 먹은 순간,함께 밤새 과제를 한 순간,동아리 공연을 함께 준비한 순간,2,소나기를 피하고 컵라면을 나눠 먹은 순간,0,day4block1/mixture/day4block1_stimulus4.wav
5,268,Chloe,Zoey,"프로젝트가 막바지에 접어들 무렵, 팀원들과 소통이 부족했던 게 자꾸 마음에 걸렸다. 처음이라 모든 걸 혼자 해결하려고 했고, 결국 중요한 자료를 누락해서 일정이 늦어졌다. 그때 팀장이 다정하게 조언해주셨지만, 내 실수로 팀원들에게 부담을 줬다는 생각에 한동안 마음이 무거웠다. 다음엔 더 솔직하게 도움을 요청하고 싶다는 다짐을 하게 됐다.",발화에서 프로젝트 일정이 늦어진 주된 원인으로 언급된 것은 무엇인가요?,잘 모르겠음,팀장의 부주의,중요한 자료 누락,과도한 업무 분배,3,중요한 자료 누락,0,day4block1/mixture/day4block1_stimulus5.wav
6,474,Chloe,Chase,"창밖에 비가 내리는 오후, 거실 소파에 앉아 반려견 토토와 시간을 보냈다. 토토는 평소와 달리 장난감 대신 내 무릎 위에 누워 조용히 쉬는 모습이었다. 책을 읽다가 토토가 잠든 모습을 바라보니 왠지 모르게 마음이 편안해졌다. 잠시 후 토토가 잠에서 깨어나 꼬리를 흔들며 나에게 다가왔고, 나는 작은 간식을 꺼내 주며 함께 영화를 보았다. 평범하지만 소중하게 느껴진 하루였다.",비가 오는 날 토토가 평소와 달리 무엇을 하지 않았나요?,잘 모르겠음,간식을 먹지 않았다,산책을 나가지 않았다,장난감을 가지고 놀지 않았다,4,장난감을 가지고 놀지 않았다,0,day4block1/mixture/day4block1_stimulus6.wav
7,74,Bruce,Vincent,"해가 뜨기 전 조용한 시간에 운동화를 신고 밖으로 나가면 공기가 차갑지만 맑아서 기분이 상쾌하다. 새벽 산책로를 걷다 보면 옅은 안개와 함께 내 숨소리만 들리고, 가끔은 지나가는 고양이나 강아지와 마주치기도 한다. 어둠이 걷히고 하늘이 점점 밝아지는 걸 보면서 하루를 시작할 수 있다는 것이 작은 행복으로 다가온다.",발화자가 새벽 운동을 하며 마주치는 동물로 언급한 것은 무엇인가요?,잘 모르겠음,고양이와 강아지,비둘기와 참새,토끼와 다람쥐,2,고양이와 강아지,0,day4block1/mixture/day4block1_stimulus7.wav
8,269,Starling,April,프로젝트가 끝나고 회의실에 혼자 남아있던 시간이 생각난다. 처음 맡은 일이라 욕심이 앞서 팀원들에게 충분히 의견을 묻지 않고 내 방식대로 진행했던 것이 결국 실패로 이어졌다. 그때 팀장이 내게 조용히 다가와 '다음엔 함께 고민해보자'고 말해줘서 마음이 놓이면서도 미안함이 컸다. 다음번엔 서두르지 않고 모두의 의견을 꼭 듣겠다고 다짐했다.,발화에서 프로젝트 실패의 가장 큰 원인으로 화자는 무엇을 언급했나요?,잘 모르겠음,팀장의 지시 부족,본인의 욕심과 독단적인 진행,일정이 너무 촉박했음,3,본인의 욕심과 독단적인 진행,0,day4block1/mixture/day4block1_stimulus8.wav
9,476,Lucille,Hans,"며칠 전, 오랜만에 가족들과 저녁 식사를 하던 중에 평소 말이 적던 동생이 갑자기 조용히 울기 시작했다. 모두 당황했지만, 동생이 최근 학교에서 힘든 일이 있었다고 솔직하게 털어놓는 모습을 보니 마음이 너무 아팠다. 평소엔 밝게만 보였던 동생이 속으로는 많이 힘들어했다는 사실을 몰라 미안했고, 그날 이후로 동생에게 더 자주 안부를 묻고 작은 변화도 신경 쓰기로 다짐했다.",가족 식사 중 동생이 눈물을 보인 이유는 무엇이었나요?,잘 모르겠음,기쁜 일이 있어서,학교에서 힘든 일이 있어서,배가 아파서,3,학교에서 힘든 일이 있어서,0,day4block1/mixture/day4block1_stimulus9.wav
10,75,Ron,Jackson,"며칠 전 동아리에서 새내기 환영회를 준비하면서 나도 모르게 리더 역할을 맡게 되었는데, 처음에는 누구에게 어떤 일을 맡겨야 할지 막막했다. 하지만 각자 잘하는 일을 파악해서 분담하니 모두가 자연스럽게 참여했고, 결과적으로 준비가 훨씬 수월하게 끝났다. 이번 경험을 통해 나 혼자 모든 걸 하려고 애쓰는 것보다, 서로의 장점을 살려 협력하는 게 더 좋은 결과로 이어진다는 걸 깨달았다.",동아리에서 새내기 환영회를 준비하면서 화자가 알게된 점은 무엇인가요?,잘 모르겠음,혼자 모든 일을 처리하는 것이 더 효율적이라는 것,새내기들이 동아리 활동에 관심이 없다는 것,각자의 장점을 살려 협력하는 것이 좋은 결과로 이어진다는 것,4,각자의 장점을 살려 협력하는 것이 좋은 결과로 이어진다는 것,0,day4block1/mixture/day4block1_stimulus10.wav
