stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
1,59,Sean,Buddy,"며칠 전 동생이 친구와 다툰 일로 속상해하길래, 엄마가 조용히 다가와 자신의 어린 시절 경험을 들려주셨다. 엄마도 비슷하게 친구와 오해로 갈등했던 적이 있었는데, 그때 먼저 손 내밀며 솔직하게 사과했던 덕분에 오히려 더 깊은 우정을 쌓았다고 했다. 그 이야기를 듣고 나서 나도 예전에 친구와 다투었던 기억이 떠올랐다. 엄마의 경험을 들으니, 용기를 내어 먼저 다가가는 것이 얼마나 중요한지 다시 한번 깨닫게 되었다.",화자의 어머니가 자신의 경험에서 강조한 중요한 가치는 무엇이었나요?,잘 모르겠음,성실하게 공부하는 것,먼저 손 내밀고 사과하는 용기,자주 여행을 다니는 것,3,먼저 손 내밀고 사과하는 용기,0,day3block2/mixture/day3block2_stimulus1.wav
2,256,Tina,Lucille,"지난달 친구의 권유로 명상 모임에 처음 참석했을 때가 생각난다. 조용한 공간에서 눈을 감고 숨을 천천히 들이마시고 내쉬면서 내 마음을 들여다보는 시간이 처음엔 어색했다. 그러나 며칠간 꾸준히 실천하니 불안했던 마음이 차분해지고, 작은 일에도 예민하게 반응하던 내가 조금씩 여유를 찾는 느낌이 들었다. 명상이 내면의 평화를 가져다준다는 말을 이제야 조금은 이해할 수 있을 것 같다.",명상 모임에서 처음에는 어떤 감정을 느꼈나요?,잘 모르겠음,어색함,분노,기쁨,2,어색함,0,day3block2/mixture/day3block2_stimulus2.wav
3,460,Katie,Jeff,"며칠 전부터 기말고사 준비 때문에 집에만 틀어박혀 공부하고 있다. 평소에는 책상 앞에 오래 앉아 있기가 힘든데, 이번에는 부담감이 커서 그런지 시간 가는 줄 모르고 문제를 풀었다. 중간에 엄마가 간식으로 귤을 깎아 주셨는데, 잠깐 단맛을 느끼며 기분이 조금 풀렸다. 그래도 밤이 깊어갈수록 불안감이 커져서 결국 새벽까지 책을 붙들고 있었다. 내일은 꼭 일찍 자려고 다짐해본다.",공부하는 도중에 엄마가 가져다 준 간식은 무엇이었나요?,잘 모르겠음,사과,귤,바나나,3,귤,0,day3block2/mixture/day3block2_stimulus3.wav
4,60,Patrick,Walter,"며칠 전 가족들과 하와이에서 잊지 못할 추억을 만들었다. 해변에서 작은 조개껍데기를 모으다가 동생이 파도에 넘어져 다 함께 크게 웃었고, 엄마는 직접 만든 레이 꽃목걸이를 내게 걸어주었다. 저녁에는 야자수 아래에서 하와이안 음악을 들으며 파인애플 피자를 먹었는데, 그 맛이 지금도 생생하다. 다음엔 가족 모두와 스노클링도 해보고 싶다.",발화자가 하와이에서 가족과 함께 했던 활동이 아닌 것은 무엇인가요?,잘 모르겠음,해변에서 조개껍데기 모으기,스노클링,야자수 아래에서 하와이안 음악 감상,3,스노클링,0,day3block2/mixture/day3block2_stimulus4.wav
5,257,Nova,Bell,"평소에는 아침을 간단히 때우는 편인데, 오늘은 오랜만에 동생과 함께 브런치를 준비했다. 집 근처 작은 베이커리에서 갓 구운 바게트를 사고, 집에서 달걀프라이와 아보카도 샐러드를 만들었다. 따뜻한 커피를 내려 테라스에서 햇살을 받으며 천천히 음식을 즐겼다. 동생과 최근 본 영화 얘기를 나누며 웃기도 하고, 음악을 틀어놓으니 평소와는 다르게 여유롭고 기분 좋은 주말 오전이었다.",발화자가 브런치 시간에 먹은 음식이 아닌 것은 무엇인가요?,잘 모르겠음,바게트,달걀프라이,치즈 오믈렛,4,치즈 오믈렛,0,day3block2/mixture/day3block2_stimulus5.wav
6,461,Maddie,Matthew,"며칠 전 친구가 새로운 직장에 합격해서 축하해주기 위해 작은 파티를 열었어. 모두 각자 집에서 의미 있는 음식을 하나씩 가져오기로 했는데, 나는 어릴 적 외할머니께서 자주 해주시던 들깨 수제비를 만들어갔지. 오랜만에 만드는 거라 긴장했지만, 고소한 들깨 향과 쫄깃한 수제비가 생각보다 잘 어울려서 친구들도 맛있게 먹었어. 그날은 음식 덕분에 추억까지 함께 나눌 수 있었던 소중한 시간이었어.",발화자가 친구의 직장 합격 축하 파티에 가져간 음식은 무엇이었나요?,잘 모르겠음,김치전,들깨 수제비,잡채,3,들깨 수제비,0,day3block2/mixture/day3block2_stimulus6.wav
7,61,CaptainBill,Hugh,"요즘 주말마다 부모님과 함께 집 근처 산책로를 걷곤 한다. 특히 해가 질 무렵 걷는 걸 좋아하는데, 아버지는 작은 개를 데리고 오시고 어머니는 그날 있었던 일들을 이야기하신다. 한 번은 갑자기 비가 내리기 시작해서 모두 비를 맞으며 뛰어가다가 근처 카페에 들어가 따뜻한 차를 마시며 한참을 웃었던 기억이 있다. 이런 소소한 시간이 가족과 더 가까워지는 느낌을 주어 소중하게 생각하게 된다.",발화자의 가족이 비를 맞은 후 들어간 곳은 어디인가요?,잘 모르겠음,식당,카페,서점,3,카페,0,day3block2/mixture/day3block2_stimulus7.wav
8,258,Annie,Natalie,"며칠 전, 가족과 함께 태국 방콕으로 생애 첫 해외여행을 다녀왔다. 처음에는 공항에서 길을 헤매기도 하고, 입국심사대에서 서툰 영어로 대화하느라 땀을 흘렸다. 하지만 호텔에 도착하자마자 현지 직원이 밝게 인사해 주어서 긴장이 조금 풀렸다. 저녁엔 야시장에 들러 색다른 음식도 맛보고, 수상버스를 타고 사원도 구경했다. 그날 밤, 낯선 나라에서 가족과 함께 모여 서로의 실수담을 웃으며 이야기한 시간이 가장 인상적이었다.",발화자가 가족과 함께 낯선 나라에서 가장 인상 깊었다고 느낀 순간은 언제였나요?,잘 모르겠음,야시장에서 음식을 먹던 순간,호텔에 처음 도착했을 때,가족끼리 실수담을 나누며 웃던 밤,4,가족끼리 실수담을 나누며 웃던 밤,0,day3block2/mixture/day3block2_stimulus8.wav
9,462,Furnando,Hailey,"이번에는 친구와 함께 낯선 도시의 로컬 푸드 마켓을 방문했다. 시장 입구에 들어서자마자 과일 냄새와 여러 가지 향신료 향이 코를 자극했다. 특히 노란빛이 도는 작은 만두를 파는 할머니가 인상적이었는데, 한 입 먹으니 안에 감자가 가득 들어 있어 고소했다. 시식 후 직접 그 만두를 두 봉지 사서 돌아오는 길에 버스 안에서 또 하나를 꺼내 먹으며 친구와 그 맛에 대해 이야기를 나눴다.",발화에서 화자가 시장에서 시식 후 구입한 음식은 무엇이었나요?,잘 모르겠음,노란빛이 도는 감자 만두,사과 파이,딸기잼이 든 크레이프,2,노란빛이 도는 감자 만두,0,day3block2/mixture/day3block2_stimulus9.wav
10,62,Ron,Duke,"며칠 전 우연히 사진첩을 정리하다가 고등학교 때 친구들과 갔던 여름방학 MT 사진을 발견했다. 그때 우리는 무더운 날씨에도 불구하고 계곡에서 서로 물을 뿌리며 깔깔 웃었다. 저녁에는 다 같이 둘러앉아 수박을 먹으며 무서운 이야기를 하기도 했고, 밤에는 모닥불 옆에서 기타를 치며 노래도 불렀다. 특히 새벽에 몰래 준비한 생일 케이크로 친구를 깜짝 축하해줬던 순간이 아직도 선명하다.",여름방학 MT에서 친구들이 새벽에 한 일은 무엇이었나요?,잘 모르겠음,계곡에서 물놀이를 했다,모닥불 옆에서 기타를 쳤다,친구의 생일을 깜짝 축하했다,4,친구의 생일을 깜짝 축하했다,0,day3block2/mixture/day3block2_stimulus10.wav
