stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
1,97,Royce,Viktor,"주말에 우리는 복잡한 곳을 피하고 집에서 데이트를 하기로 했다. 같이 요리책을 보며 파스타를 만들고, 식탁에 촛불도 켜서 분위기를 냈다. 저녁을 먹은 후에는 소파에 앉아 둘이 좋아하는 옛날 영화를 골라 봤다. 서로의 취향을 이야기하며 간식으로 직접 구운 쿠키도 먹으니, 밖에 나가지 않아도 충분히 특별한 하루였다.",우리가 집에서 데이트를 하며 함께 한 요리는 무엇이었나요?,잘 모르겠음,볶음밥,파스타,피자,3,파스타,0,day5block1/mixture/day5block1_stimulus1.wav
2,288,Margot,Chloe,"며칠 전에 예전에 정말 좋아했던 애니메이션을 다시 보게 됐다. 주인공이 처음에는 자신의 힘을 제대로 믿지 못해서 여러 번 실수도 하고, 친구들과도 갈등을 겪었는데, 결국에는 친구들의 격려 덕분에 자신감을 갖게 되고 큰 시련을 이겨내는 장면이 인상 깊었다. 그걸 보면서 나도 힘들 때 주변 사람들의 응원을 믿고 한 번 더 도전해봐야겠다는 생각이 들었다.",화자가 애니메이션을 다시 보면서 느낀 점은 무엇이었나요?,잘 모르겠음,주인공이 혼자 문제를 해결하는 것이 멋있었다.,애니메이션의 그림체가 예전과 달라졌다는 점이 놀라웠다.,주변 사람들의 응원이 도전할 용기를 준다는 것이 인상 깊었다.,4,주변 사람들의 응원이 도전할 용기를 준다는 것이 인상 깊었다.,0,day5block1/mixture/day5block1_stimulus2.wav
3,500,Landon,AnnabelletheGhost,"집 근처 편의점에 가던 길에 평소 잘 보지 못했던 작은 벽화가 눈에 들어왔다. 바쁜 일상에 치여 항상 급하게만 지나쳤던 그 골목 담벼락엔 아이들이 그린 듯한 해바라기와 고양이 그림이 그려져 있었다. 밝은 색채 덕분에 골목 전체가 환해 보였고, 순간 걸음을 멈추고 한참 동안 그림을 감상했다. 누가 그렸는지 궁금해지기도 했고, 평범한 거리도 이렇게 특별해질 수 있다는 걸 새삼 느꼈다.",담벼락에 그려진 그림에 포함된 동물은 무엇이었나요?,잘 모르겠음,강아지,고양이,토끼,3,고양이,0,day5block1/mixture/day5block1_stimulus3.wav
4,99,Peter,Rusty,"며칠 전 늦은 시간까지 과제 때문에 끙끙거리고 있었는데, 갑자기 엄마가 방에 들어와 조용히 따뜻한 우유 한 잔을 건네주셨어. 별말 없이 등만 토닥여주고 나가셨는데, 그 순간 마음이 참 따뜻해지더라. 어릴 때는 이런 엄마의 관심이 당연하다고 생각했는데, 요즘 들어 바쁘고 힘든 날이 많아지면서 엄마의 작은 배려가 얼마나 소중한지 새삼 느끼고 있어. 앞으로 엄마에게 자주 고맙다고 표현해야겠다고 다짐했다.",발화자가 엄마의 사랑을 느낀 구체적인 상황은 무엇이었나요?,잘 모르겠음,엄마가 아침밥을 차려주신 것,엄마가 늦은 시간에 따뜻한 우유를 건네주신 것,엄마가 과제를 도와주신 것,3,엄마가 늦은 시간에 따뜻한 우유를 건네주신 것,0,day5block1/mixture/day5block1_stimulus4.wav
5,289,Maddie,Stephanie,"며칠 전 늦은 밤에 어릴 적 즐겨봤던 만화 '은하철도999'를 다시 보게 됐다. 주인공이 힘든 상황에서도 포기하지 않고 친구들과 함께 어려움을 이겨내는 모습이 인상 깊었다. 어린 시절에는 단순히 모험이 재미있어서 봤지만, 지금 보니 혼자가 아니라 주변 사람들과 협력하는 것이 얼마나 소중한지 깨닫게 되었다. 오랜만에 만화를 통해 용기와 우정의 소중함을 다시 한 번 느끼며 마음이 따뜻해졌다.",발화자가 '은하철도999'를 다시 보며 새롭게 깨달은 점은 무엇이었나요?,잘 모르겠음,협력의 소중함을 알게 되었다는 점,해상도가 낮았다는 점,만화의 그림체가 변했다는 점,2,협력의 소중함을 알게 되었다는 점,0,day5block1/mixture/day5block1_stimulus5.wav
6,501,Samantha,Neoguard,"며칠 전 친구와 다퉜던 기억이 자꾸 떠오른다. 그날은 내 기분이 몹시 나빴는데, 친구가 걱정하며 다가왔을 때 짜증 섞인 말을 해버렸다. 그 순간엔 사소한 일이라 생각했지만, 친구 얼굴이 서운하게 굳어가는 걸 보고야 말았다. 그 뒤로 연락이 뜸해져 마음이 무거웠다. 미안하다는 말을 바로 하지 못한 게 가장 후회된다. 만약 시간을 돌릴 수 있다면, 감정에 휩쓸리지 않고 내 진심을 먼저 전했을 것 같다.",화자가 가장 후회하는 이유는 무엇인가요?,잘 모르겠음,친구에게 선물을 주지 않아서,감정적으로 친구에게 짜증을 내고 미안하다고 바로 말하지 못해서,친구와 연락을 자주 하지 않아서,3,감정적으로 친구에게 짜증을 내고 미안하다고 바로 말하지 못해서,0,day5block1/mixture/day5block1_stimulus6.wav
7,100,Logan,UncleHank,"며칠 전 친구들과 부산에 여행을 갔을 때였다. 해운대 해변에서 갑자기 소나기가 쏟아지기 시작했는데, 우산도 없고 근처에 마땅히 피할 곳도 없어서 모두 당황했다. 순간 근처에 있던 작은 카페로 뛰어들었고, 사장님께서 친절하게 우산을 빌려주셔서 무사히 숙소까지 돌아올 수 있었다. 예상치 못한 위기였지만, 현지인의 도움으로 오히려 따뜻한 추억이 되었다.","부산 여행 중 갑자기 소나기가 내렸을 때, 화자는 어디에서 비를 피했나요?",잘 모르겠음,마트,작은 카페,지하철역,3,작은 카페,0,day5block1/mixture/day5block1_stimulus7.wav
8,290,Alex,Sophia,"주말 저녁 가족들과 거실에 모여 영화를 보기로 했을 때, 우연히 '포레스트 검프'를 골랐던 기억이 아직도 선명하다. 영화가 끝난 후 어머니께서 조용히 눈물을 닦으시는 모습을 보고, 단순한 이야기처럼 보이던 장면 하나하나가 가족에 대한 사랑과 인생의 우연에 대해 깊은 여운을 남겼다. 그날 이후로 힘들 때마다 이 영화를 떠올리며 위로를 받게 되었다.",화자가 가족들과 함께 본 영화가 끝난 후 어머니께서 어떤 행동을 하셨나요?,잘 모르겠음,눈물을 닦으셨다,웃으셨다,영화에 대해 이야기하셨다,2,눈물을 닦으셨다,0,day5block1/mixture/day5block1_stimulus8.wav
9,502,NewscasterJohn,Jodie,"새로 산 수영복을 입고 수영장에 들어서니 약간 긴장됐지만, 물에 들어가니 차가운 감촉이 오히려 상쾌하게 느껴졌다. 처음엔 발만 담갔는데, 구명조끼를 입고 천천히 얕은 곳에서 걸어보다가 강사님이 손을 잡아주셔서 두려움이 조금 줄었다. 물안경에 김이 서려 앞이 뿌옇게 보였지만, 그래도 팔을 저으며 한두 번 짧게 앞으로 나아가보는 데 성공했다. 나중엔 벽을 잡고 발차기도 해보고, 옆에서 응원해주는 친구 목소리에 용기도 났다.",내가 두려움이 줄어들게 된 이유가 무엇이었나요?,잘 모르겠음,강사님이 손을 잡아주셨다,물이 따뜻했다,새로 산 수경을 꼈다,2,강사님이 손을 잡아주셨다,0,day5block1/mixture/day5block1_stimulus9.wav
10,101,Mark,Kanno,"평소에는 새로운 사람과 어울리는 걸 조금 불편해했었는데, 부산에서 혼자 여행하던 중에 게스트하우스에서 만난 친구들과 밤바다 산책을 하면서 자연스럽게 대화를 나눌 수 있었다. 그 이후로 낯선 환경에서 먼저 인사하고 이야기를 시작하는 게 익숙해졌고, 여행 이후에는 직장에서도 새로운 동료와 어색함 없이 친해질 수 있었다. 예전의 나였다면 상상도 못 할 변화였다.",부산 여행을 계기로 발화자에게 생긴 변화는 무엇이었나요?,잘 모르겠음,여행을 자주 다니게 되었다.,새로운 사람과 친해지는 데 자신감이 생겼다.,음식 취향이 바뀌었다.,3,새로운 사람과 친해지는 데 자신감이 생겼다.,0,day5block1/mixture/day5block1_stimulus10.wav
