stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
1,45,Mark,KlipKim,"최근에 도자기 공예를 배우기 시작하면서 처음엔 손이 자꾸 미끄러져서 작은 컵 하나 만드는 데에도 시간이 오래 걸렸다. 그래도 선생님이 천천히 손의 힘을 빼라고 조언해주셔서, 점차 흙의 온도와 촉감을 느끼며 집중할 수 있게 되었다. 완성된 컵을 집에 가져와 가족에게 보여줬을 때 뿌듯함이 컸고, 실수를 해도 포기하지 않는 인내심이 내게 생겼다는 점이 가장 큰 변화였다.",도자기 공예를 하며 작성자가 가장 크게 느낀 변화는 무엇이었나요?,잘 모르겠음,손재주가 늘어난 것,인내심이 생긴 것,색을 고르는 감각이 좋아진 것,3,인내심이 생긴 것,0,day3block1/mixture/day3block1_stimulus1.wav
2,246,Annie,Verna,"작년 봄, 신혼여행 중에 우연히 현지인에게 추천받아 작은 해변 마을에 들르게 되었어. 관광객이 거의 없어서 조용했고, 해 질 무렵 노을이 바다에 비치는 모습이 정말 아름다웠지. 그곳의 카페에서 마신 달콤한 망고 주스와, 남편이랑 모래사장에 앉아 조개껍데기를 주우며 이야기를 나눈 시간이 아직도 선명하게 기억나. 그날의 공기와 소리, 그리고 처음 보는 이국적인 꽃 향기가 모두 합쳐져 그 장소는 우리에게 특별한 추억이 되었어.",신혼여행 중 이 부부가 해변 마을에서 했던 일로 언급되지 않은 것은 무엇인가요?,잘 모르겠음,망고 주스를 마셨다,모래사장에서 조개껍데기를 주웠다,현지 시장에서 쇼핑을 했다,4,현지 시장에서 쇼핑을 했다,0,day3block1/mixture/day3block1_stimulus2.wav
3,448,PN,Paige,"깊은 심해로 내려가는 잠수정을 탔을 때 창밖에 펼쳐진 풍경이 아직도 생생하다. 빛이 거의 닿지 않는 곳이라 모든 게 어둡고 신비로웠다. 특히 갑자기 앞을 스쳐 지나간 투명한 해파리 무리가 인상적이었고, 동료가 작은 심해어를 발견했다고 소리쳐 모두가 그 쪽을 바라보기도 했다. 탐험이 끝나갈 무렵엔 잠수정 벽에 부딪히는 미세한 소리까지 또렷하게 들려와 긴장감이 감돌았다.",탐험 중에 모두의 시선을 끌었던 것은 무엇이었나요?,잘 모르겠음,작은 심해어,고래 떼,심해의 암석,2,작은 심해어,0,day3block1/mixture/day3block1_stimulus3.wav
4,46,Ron,Edward,"작년 겨울, 가족들과 크리스마스를 맞아 오랜만에 집에서 저녁을 준비했다. 각자 맡은 요리를 만들기로 했는데, 나는 감자샐러드를 맡았고 동생은 케이크를 만들었다. 엄마는 오븐에서 치킨을 구웠고, 아빠는 트리를 꾸몄다. 식사 후에는 선물을 교환하며 가족 사진도 찍었다. 따뜻한 분위기 속에서 모두가 서로의 이야기를 나누며 오랜만에 웃음이 끊이지 않는 저녁을 보냈던 기억이 난다.",발화에서 크리스마스 저녁에 아빠가 맡았던 역할은 무엇이었나요?,잘 모르겠음,치킨을 굽는 것,트리를 꾸미는 것,케이크를 만드는 것,3,트리를 꾸미는 것,0,day3block1/mixture/day3block1_stimulus4.wav
5,247,Hailey,Sylvia,"며칠 전 가족들과 함께 거실 벽면을 새로 꾸미기로 했다. 다 같이 인터넷에서 벽지 고르는 데만도 한참 걸렸고, 직접 벽지 붙이기를 시작하니 처음엔 손에 풀이 잔뜩 묻어 고생했다. 동생이 자꾸 삐뚤게 붙여서 웃음이 터지기도 했다. 결국엔 모두 힘을 합쳐서 생각보다 훨씬 예쁘게 완성할 수 있었다. 벽이 새롭게 변하니 집 분위기도 한결 밝아진 것 같았다.",벽지 작업을 하던 중에 가족 중 누가 벽지를 삐뚤게 붙였나요?,잘 모르겠음,아버지,동생,나,3,동생,0,day3block1/mixture/day3block1_stimulus5.wav
6,449,Bell,Jackson,"도서관에서 밤을 새우며 팀원들과 앱 개발 프로젝트를 했던 기억이 아직도 생생하다. 처음 맡은 역할은 디자인이었지만, 갑자기 한 팀원이 개인 사정으로 빠지게 되어 내가 백엔드까지 맡게 되었다. 그 과정에서 예상치 못한 에러가 계속 발생해 모두가 힘들어했지만, 팀원들과 서로 격려하며 결국 마감 하루 전에 완성할 수 있었다. 그 경험 덕분에 협업의 소중함과 유연하게 대처하는 법을 배웠다.",발화자가 원래 맡았던 역할은 무엇이었나요?,잘 모르겠음,백엔드,배포,디자인,4,디자인,0,day3block1/mixture/day3block1_stimulus6.wav
7,48,UncleHank,Nathan,"며칠간 밤늦게까지 팀원들과 함께 머리를 맞대고 준비했던 프로젝트가 드디어 오늘 성공적으로 마무리되었다. 프레젠테이션을 마친 뒤 모두가 박수를 쳐주는데, 그동안의 고생이 한순간에 보상받는 느낌이었다. 동료들과 피곤함도 잊은 채 근처 카페에서 축하 케이크를 나눠 먹으면서 서로의 노력을 칭찬했다. 이 순간을 오랫동안 기억하고 싶다.",프로젝트가 끝난 후 팀원들은 어디에서 축하를 했나요?,잘 모르겠음,사무실,카페,식당,3,카페,0,day3block1/mixture/day3block1_stimulus7.wav
8,248,Tina,Abigail,"창밖을 바라보다가 우연히 작은 새 한 마리가 화단에 내려앉는 모습을 보았다. 그 새는 초록빛이 도는 회색 깃털을 가지고 있었고, 햇살을 받으며 몸을 부드럽게 털었다. 잠시 후 나뭇잎 위로 물방울이 반짝이는 것이 눈에 들어왔는데, 마치 작은 보석처럼 빛나서 한동안 넋을 놓고 바라보게 되었다. 바람이 불 때마다 나뭇잎과 물방울이 함께 흔들리며 햇빛을 반사하는 모습이 정말 인상적이었다.",화단에서 내려앉은 새의 깃털 색깔은 무엇이었나요?,잘 모르겠음,노란색과 흰색,초록빛이 도는 회색,파란색과 검은색,3,초록빛이 도는 회색,0,day3block1/mixture/day3block1_stimulus8.wav
9,450,CaptainBill,Nia,"비 오는 어느 날, 조별과제 발표를 앞두고 팀원들과 늦게까지 도서관에서 머물렀던 기억이 또렷하다. 발표 자료를 완성하려고 각자 역할을 나눠 진행했는데, 한 친구가 갑자기 몸이 안 좋아져서 중간에 집에 가게 됐다. 남은 우리 셋이서 친구의 분량까지 밤새 준비했고, 다같이 피곤한 얼굴로 다음 날 발표를 무사히 마쳤다. 그때의 긴장감과 팀원들 사이의 끈끈함은 시간이 지나도 잊히지 않는다.","도서관에서 프로젝트 준비를 하던 중, 한 팀원에게 어떤 일이 생겼나요?",잘 모르겠음,갑자기 몸이 안좋아졌다,늦잠을 자서 지각했다,준비물을 잊어버렸다,2,갑자기 몸이 안좋아졌다,0,day3block1/mixture/day3block1_stimulus9.wav
10,49,Aaron,KilliantheVampire,"어릴 때 엄마와 함께 시장에 간 적이 있는데, 그날 갑자기 비가 많이 내리기 시작했어요. 우산이 하나뿐이라 엄마가 저에게 우산을 씌워주시고 본인은 비를 그대로 맞으셨어요. 집에 도착했을 때 엄마 옷이 다 젖어 있던 모습이 아직도 잊혀지지 않아요. 그날 이후로 저는 누군가를 배려하는 것이 얼마나 중요한지 자연스럽게 알게 되었고, 일상 속에서도 작은 배려를 실천하려고 노력하고 있어요.",시장에 갔다가 비가 왔을 때 엄마가 한 행동은 무엇이었나요?,잘 모르겠음,우산을 빌려 쓰셨다,우산을 사셨다,우산을 아이에게 씌워주고 본인은 비를 맞으셨다,4,우산을 아이에게 씌워주고 본인은 비를 맞으셨다,0,day3block1/mixture/day3block1_stimulus10.wav
