stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
1,33,Rusty,Noa,"창문을 열어둔 채 책을 읽고 있는데, 갑자기 고양이 민이가 창밖을 뚫어지게 바라보며 꼬리를 바닥에 두 번 툭툭 쳤다. 그 순간 어디선가 바람이 불어와 책장이 한 장 넘어갔다. 민이가 창밖에서 뭔가를 본 건지, 바람이 올 걸 예감한 건지 알 수 없지만, 그 짧은 순간 우리는 아무 말도 하지 않았는데도 서로 뭔가를 이해한 듯한 기분이 들어 신기했다.",고양이 민이가 창밖을 바라보며 어떤 행동을 했는지에 대한 설명으로 옳은 것은 무엇인가요?,잘 모르겠음,민이가 갑자기 크게 울었다.,민이가 꼬리를 바닥에 두 번 쳤다.,민이가 창밖으로 뛰어내렸다.,3,민이가 꼬리를 바닥에 두 번 쳤다.,0,day2block2/mixture/day2block2_stimulus1.wav
2,234,Janet,Harper,"창밖에 비가 내리던 어느 주말, 오랜만에 수채화 도구를 꺼내 들었어요. 평소엔 완벽하게 그리려 애쓰곤 했지만, 그날은 일부러 물을 많이 써서 색이 번지도록 내버려뒀죠. 생각보다 결과가 자연스럽고 멋져서 깜짝 놀랐어요. 그 경험 덕분에 꼭 모든 걸 내 뜻대로 통제하지 않아도 때로는 더 좋은 결과가 나온다는 걸 느꼈습니다.",발화자가 수채화를 그릴 때 평소와 달리 시도한 방법은 무엇인가요?,잘 모르겠음,붓 대신 연필을 사용함,물을 많이 써서 색이 번지게 함,유화물감을 섞어서 그림,3,물을 많이 써서 색이 번지게 함,0,day2block2/mixture/day2block2_stimulus2.wav
3,437,Margot,Doug,"평소와 다르게 일찍 귀가하던 날, 보호소에서 데려온 강아지와 처음 마주했다. 문을 열자 낯선 환경에 긴장한 듯 조용히 내 눈치를 살피던 모습이 아직도 선하다. 조심스럽게 손을 내밀자, 강아지는 한참을 망설이다가 내 손끝을 살짝 냄새 맡고는 꼬리를 아주 천천히 흔들기 시작했다. 그때 따뜻한 온기가 전해지면서, 내가 앞으로 이 친구의 가족이 될 수 있겠다는 실감이 들었다.",강아지가 처음 필자와 인사했을 때 보인 행동은 무엇이었나요?,잘 모르겠음,한참 망설이다 손끝을 냄새 맡았다,바로 달려와 안겼다,짖으며 뒷걸음질쳤다,2,한참 망설이다 손끝을 냄새 맡았다,0,day2block2/mixture/day2block2_stimulus3.wav
4,34,Frankenstein,Simon,"며칠 전 회사에서 중요한 프로젝트 발표를 앞두고 팀원들과 의견이 많이 달라서 밤늦게까지 회의를 반복했다. 서로 주장만 내세우다 보니 오히려 진행이 더딘 느낌이 들어 답답했다. 결국 팀장님께 솔직하게 상황을 말씀드렸고, 각자 역할을 명확히 나누자는 조언을 듣고 나서야 분위기가 조금 풀렸다. 그날 이후로는 업무 분담이 확실해져 고민이 한결 줄었다.",발화자가 팀 내 갈등을 해결하는 데 가장 큰 도움을 받은 조언은 무엇이었나요?,잘 모르겠음,야근을 줄이자는 조언,역할을 명확히 나누자는 조언,팀원들과 식사를 하자는 조언,3,역할을 명확히 나누자는 조언,0,day2block2/mixture/day2block2_stimulus4.wav
5,237,Janet,Olivia,"며칠 전, 드디어 첫 해외여행으로 일본 오사카에 다녀왔다. 비행기를 처음 타는 거라 출국장에 들어서기 전부터 긴장됐다. 공항에서 길을 헤매다 겨우 탑승구를 찾았고, 비행기 창밖 구름을 보며 설렘을 느꼈다. 도착 후에는 일본어가 서툴러 편의점에서 원하는 음식을 고르기 어려웠지만, 직원이 친절하게 추천해준 도시락을 먹고 기분이 좋아졌다.",해외여행 중 편의점에서 화자가 겪은 일은 무엇이었나요?,잘 모르겠음,직원이 영어로 길을 안내해줬다,원하는 음식을 고르지 못했다가 추천을 받았다,직원이 계산을 도와주지 않았다,3,원하는 음식을 고르지 못했다가 추천을 받았다,0,day2block2/mixture/day2block2_stimulus5.wav
6,438,Damian,Valerie,"며칠 전부터 매일 저녁마다 조용한 방에서 명상을 시도하고 있다. 처음엔 잡생각이 머릿속을 맴돌아 집중하기 어려웠지만, 호흡에 천천히 신경을 쓰다 보니 마음이 차분해지는 걸 느꼈다. 어제는 눈을 감고 깊이 들이마시는 숨소리에 귀를 기울이니, 잠시나마 일상의 걱정이 잦아들고 내면에 평온함이 찾아왔다. 명상이 이렇게 감정을 안정시키는 데 도움을 줄 줄은 미처 몰랐다.",내가 명상 중 집중하기 위해 신경을 쓴 것은 무엇이었나요?,잘 모르겠음,창밖의 소리,호흡,조명 밝기,3,호흡,0,day2block2/mixture/day2block2_stimulus6.wav
7,35,Philip,Edward,"창밖에 비가 내리던 어느 날, 소파에 앉아 책을 읽고 있는데 반려견 콩이가 조용히 옆에 다가와 제 무릎 위에 머리를 기대더라고요. 콩이의 따뜻한 체온이 전해지면서 괜스레 마음이 차분해지고, 걱정도 조금은 사라지는 기분이 들었어요. 콩이와 함께 있을 때면 작은 일상에서도 행복을 느끼는 법을 자연스럽게 배우게 되는 것 같아요.",비가 내리던 날 콩이가 한 행동은 무엇이었나요?,잘 모르겠음,소파 밑에 숨었다,창밖을 바라보았다,무릎 위에 머리를 기댔다,4,무릎 위에 머리를 기댔다,0,day2block2/mixture/day2block2_stimulus7.wav
8,238,Helena,Lucille,"도서관에서 밤새 과제하던 날들이 엊그제 같은데, 이제 곧 졸업을 한다는 사실이 실감나지 않는다. 동아리 선배들과 마지막으로 함께한 회식에서 다들 각자의 진로에 대한 기대와 불안함을 솔직하게 나누던 순간이 오래도록 기억에 남을 것 같다. 특히 친구와 캠퍼스 곳곳을 사진으로 남기며 추억을 정리하던 하루는 평소 아무렇지 않게 지나치던 풍경도 새삼 소중하게 느껴졌다.",졸업을 앞둔 화자가 친구와 함께 했던 활동은 무엇이었나요?,잘 모르겠음,동아리에서 게임을 한 것,캠퍼스에서 사진을 찍은 것,도서관에서 책을 빌린 것,3,캠퍼스에서 사진을 찍은 것,0,day2block2/mixture/day2block2_stimulus8.wav
9,439,Tina,River,"며칠 전 친구와 함께 오래된 골목길을 걷다가 우연히 작은 분식집을 발견했어. 간판도 낡고 내부도 소박했지만, 그곳에서 먹은 떡볶이는 정말 잊을 수 없을 정도로 맛있었어. 맵고 달콤한 소스에 쫄깃한 떡, 그리고 직접 튀긴 어묵까지 한 입 먹는 순간 어릴 적 학교 앞에서 사 먹던 추억이 떠오르더라. 사장님께서 즉석에서 만들어주신 따뜻한 김밥까지 곁들이니, 평범한 하루가 특별하게 느껴졌어.",발화자가 분식집에서 먹은 음식으로 언급한 것은 무엇인가요?,잘 모르겠음,라면과 만두,"떡볶이와 어묵, 김밥",볶음밥과 돈가스,3,"떡볶이와 어묵, 김밥",0,day2block2/mixture/day2block2_stimulus9.wav
10,36,Ron,JackoLantern,"며칠 전부터 반 친구들과 함께 교실 한쪽에 모여 축제 부스 준비를 시작했다. 각자 역할을 나누고, 꾸미기 담당이던 나는 색종이와 풍선으로 벽을 장식했다. 연습 시간마다 노래와 춤을 맞추느라 실수도 많았지만, 서로 웃으며 금방 분위기가 좋아졌다. 마침내 축제 당일이 되어 우리 반 부스에는 예상보다 더 많은 학생들이 찾아와 게임을 즐겼고, 준비했던 간식도 모두 나가서 뿌듯함을 느꼈다.",발화에서 화자가 맡았던 역할은 무엇이었나요?,잘 모르겠음,간식 준비 담당,노래 연습 담당,꾸미기 담당,4,꾸미기 담당,0,day2block2/mixture/day2block2_stimulus10.wav
11,239,Starling,Audrey,"몇 해 전 혼자 제주도를 여행했을 때, 처음에는 낯선 환경과 혼자라는 사실에 적잖이 긴장했다. 하지만 한라산을 오르며 만난 사람들과 자연스럽게 대화를 나누고, 길을 헤맸을 때 현지인에게 도움을 받으며 점점 자신감이 생겼다. 그 경험 이후 낯선 상황에서도 두려움보다는 호기심이 먼저 드는 성격으로 변했고, 새로운 도전을 주저하지 않게 되었다.",제주도 여행을 통해 내가 가장 크게 변화한 점은 무엇이었나요?,잘 모르겠음,음식 취향이 바뀌었다,두려움 대신 호기심이 생겼다,사진 찍는 법을 배웠다,3,두려움 대신 호기심이 생겼다,0,day2block2/mixture/day2block2_stimulus11.wav
12,440,Edward,Athena,"최근 프로젝트가 너무 벅차서 고민이 많았을 때, 선배인 민정 선생님이 먼저 점심을 같이 하자고 제안해주셨다. 식사 내내 제 이야기를 진심으로 들어주시고, 본인도 비슷한 시절이 있었다며 따뜻하게 위로해주셨다. 특히 실패를 두려워하지 말고 작은 성공을 쌓아가라는 조언이 정말 큰 힘이 됐다. 그날 이후로 힘들 때마다 민정 선생님께 가끔씩 조언을 구하며 많이 배우고 있다.",민정 선생님이 점심 시간에 해준 조언은 무엇이었나요?,잘 모르겠음,실패를 두려워하지 말고 작은 성공을 쌓아가라고 했다,상사의 말을 잘 들으라고 했다,팀을 바꾸는 것이 좋겠다고 했다,2,실패를 두려워하지 말고 작은 성공을 쌓아가라고 했다,0,day2block2/mixture/day2block2_stimulus12.wav
13,37,Hugh,Santa,"며칠 전, 경주의 한적한 골목길을 산책하다가 우연히 작은 찻집을 발견했다. 창밖에는 은행나무가 노랗게 물들어 있었고, 그 풍경을 바라보며 따뜻한 유자차를 마셨다. 사장님과 잠시 대화를 나누었는데, 직접 손수 만든 유자청이라며 한 잔 더 권해주셔서 특별한 기분이 들었다. 그날의 향기와 고요함이 아직도 마음에 남아 있다.",찻집에서 주인이 주인공에게 무엇을 권해주었나요?,잘 모르겠음,따뜻한 커피,직접 만든 유자청,호두과자,3,직접 만든 유자청,0,day2block2/mixture/day2block2_stimulus13.wav
14,240,Lucille,Patricia,"친구들이 모두 바빠서 혼자 부산으로 여행을 떠나게 됐다. 혼자 기차 타는 게 처음이라 긴장됐지만, 창밖 풍경을 보며 금세 마음이 편안해졌다. 광안리 해변을 걷다가 우연히 만난 작은 카페에 들어갔는데, 사장님이 직접 내려주신 커피 맛이 참 특별했다. 혼자라서 오히려 더 자유롭게 이곳저곳 둘러볼 수 있었고, 예상치 못한 소소한 즐거움도 느꼈다.",혼자 여행 중에 우연히 들어간 카페에서 어떤 특별한 경험을 했나요?,잘 모르겠음,사장님이 직접 만든 디저트를 맛봤다,사장님이 직접 내려준 커피를 마셨다,사장님이 무료로 음료를 제공했다,3,사장님이 직접 내려준 커피를 마셨다,0,day2block2/mixture/day2block2_stimulus14.wav
15,441,Lloyd,AnnabelletheGhost,"며칠 전 언어 교환 앱에서 우연히 만난 멕시코 친구와 첫 영상 통화를 했다. 긴장해서 준비한 스페인어 문장들을 잊어버릴까봐 메모를 옆에 두고 시작했다. 대화 중에 서로의 일상 사진을 보여주며 음식 이야기로 웃음이 터졌고, 친구가 직접 만든 타코 레시피를 알려줬다. 덕분에 새로운 언어뿐 아니라 문화도 배우는 소중한 시간이었고, 나중에 꼭 멕시코 여행을 가보고 싶어졌다.",화자는 영상 통화 도중 친구가 무엇을 알려줬다고 했나요?,잘 모르겠음,자신의 취미,타코 레시피,한국 음식 레시피,3,타코 레시피,0,day2block2/mixture/day2block2_stimulus15.wav
16,33,Noa,Rusty,"며칠 전, 오랫동안 연락만 이어온 친구와 오랜만에 만났다. 예전에는 모든 걸 털어놓을 수 있었는데, 이번에는 대화가 자꾸만 어색하게 끊겼다. 함께 걷던 산책길에서도 예전처럼 편안한 침묵이 아니라, 무언가 해야 할 말을 찾으려 애쓰는 침묵이었다. 서로의 생활이 많이 달라져버려 예전처럼 자연스럽게 웃거나 농담을 주고받는 것도 쉽지 않았다. 그 친구와의 관계를 어떻게 해야 할지 고민스러웠지만, 막상 자리를 뜨고 집에 돌아오는 길엔 왠지 모를 아쉬움이 남았다.",화자가 오랜만에 친구를 만난 후 느낀 감정으로 가장 알맞은 것은 무엇인가요?,잘 모르겠음,예전과 다름에 대한 아쉬움,화남,무관심,2,예전과 다름에 대한 아쉬움,0,day2block2/mixture/day2block2_stimulus1.wav
17,234,Harper,Janet,"점심시간이 지나고 사무실이 약간 조용해질 무렵, 동료 민지와 함께 탕비실에서 커피를 내렸다. 서로 마주보며 오늘 오전에 있었던 작은 실수에 대해 웃으며 이야기했다. 커피 잔을 들고 돌아오는 길에 창밖을 보니, 햇빛이 회색 빛 유리창에 부드럽게 내려앉아 있었다. 바쁜 업무 속에서도 잠시나마 여유를 느낄 수 있었던 순간이 머릿속에 오래 남았다.",탕비실에서 커피를 내린 후 동료와 어떤 이야기를 나누었나요?,잘 모르겠음,최근 본 영화 이야기,오늘 오전에 있었던 실수에 관한 이야기,가족에 관한 이야기,3,오늘 오전에 있었던 실수에 관한 이야기,0,day2block2/mixture/day2block2_stimulus2.wav
18,437,Doug,Margot,"늘 같은 일상에 지루함을 느끼던 어느 날, 친구가 외국에서 지내는 자신의 경험을 들려주었다. 그 이야기를 듣고 나니 나도 새로운 환경에서 살아보고 싶다는 생각이 강하게 들었다. 결국 직장에 휴직계를 내고, 한 달 뒤에 비행기 표를 예매했다. 부모님은 걱정했지만, 내 결심이 확고하다는 걸 알고 응원해주셨다. 그렇게 나는 긴장과 설렘을 안고 외국 생활을 시작하게 되었다.",외국으로 건너가기로 결심하게 된 계기는 무엇이었나요?,잘 모르겠음,부모님의 권유로,친구의 외국 생활 이야기를 듣고,직장 동료의 추천으로,3,친구의 외국 생활 이야기를 듣고,0,day2block2/mixture/day2block2_stimulus3.wav
