stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
1,84,Sean,Tyson,"요즘 주말마다 가족들과 함께 집 근처 공원에서 자전거를 타는 시간을 갖고 있다. 처음엔 동생이 자전거를 잘 못 타서 자주 멈춰서 기다려줬지만, 이제는 다들 비슷한 속도로 달릴 수 있게 되었다. 자전거를 타다 보면 서로 앞서거니 뒤서거니 하면서 소소한 대화를 나누고, 중간쯤에 있는 벤치에서 과일과 음료수도 나눠 먹는다. 이렇게 함께 시간을 보내다 보니 가족끼리 더 가까워진 느낌이 들어서 요즘은 이 시간이 기다려진다.",가족과 함께 공원에서 자전거를 타며 중간에 무엇을 함께 나눠 먹었나요?,잘 모르겠음,과일과 음료수,샌드위치와 커피,떡과 우유,2,과일과 음료수,0,day4block2/mixture/day4block2_stimulus1.wav
2,278,Lindsay,Kelly,"매년 크리스마스에는 집에서 가족들과 작은 파티를 열지만, 올해는 동생이 직접 만든 케이크를 준비해와서 분위기가 특별했다. 엄마는 오븐에서 꺼낸 따뜻한 쿠키를 나눠주었고, 아버지는 갑자기 산타 분장을 하고 선물을 나눠주셔서 모두가 웃음 짓게 됐다. 특히 동생이 케이크 위에 초를 꽂고 우리 모두가 소원을 빌며 불을 끄던 순간이 가장 기억에 남았다.",올해 크리스마스에 가족 파티에서 동생이 가져온 것은 무엇이었나요?,잘 모르겠음,오븐에서 꺼낸 쿠키,직접 만든 케이크,산타 분장 의상,3,직접 만든 케이크,0,day4block2/mixture/day4block2_stimulus2.wav
3,486,KilliantheVampire,Shana,"오늘 우산을 들고 집 근처 공원을 천천히 걸었다. 빗방울이 잎사귀 위에서 또르르 미끄러지는 소리가 생각보다 기분을 차분하게 만들어 주었다. 평소에는 지나치기만 했던 작은 연못의 물결도 비에 젖어 더욱 잔잔해 보였고, 그 모습을 한참 바라보다가 마음이 무거웠던 일들도 조금은 가벼워지는 느낌을 받았다. 집으로 돌아오는 길에 신발이 젖었지만 이상하게도 그조차도 싫지 않았다.","비 오는 날 산책하던 중, 발화자가 마음이 한결 가벼워졌다고 느낀 계기는 무엇이었나요?",잘 모르겠음,공원에서 운동을 했기 때문,작은 연못의 잔잔한 모습을 바라봤기 때문,친구와 통화를 했기 때문,3,작은 연못의 잔잔한 모습을 바라봤기 때문,0,day4block2/mixture/day4block2_stimulus3.wav
4,86,Sean,Royce,"며칠 전 친구들과 오랜만에 만났을 때, 고등학교 축제에서 떡볶이 부스를 운영했던 일이 화제가 됐다. 그때 나는 요리 담당이었는데, 예상보다 손님이 많아 한 번도 쉬지 못하고 계속 떡볶이를 만들었다. 중간에 매운 양념을 잘못 넣어서 한 번은 너무 맵게 만들어 버려서, 친구들과 같이 우유를 사와 나눠 마시며 웃었던 기억이 난다. 그 덕분에 축제가 끝날 때쯤에는 목이 쉬었지만, 반 친구들과 더 가까워진 소중한 시간이었다.",발화자가 학교 축제에서 맡았던 역할은 무엇이었나요?,잘 모르겠음,요리 담당,손님 응대 담당,축제 사회자,2,요리 담당,0,day4block2/mixture/day4block2_stimulus4.wav
5,279,Camila,Janet,"최근에 부모님과 동생이랑 집 근처 공원에 산책을 다녀왔다. 다들 오랜만에 한가로운 주말을 맞아 기분이 좋아 보였다. 엄마는 벤치에 앉아 가져온 귤을 까주셨고, 아빠는 동생이랑 배드민턴을 쳤다. 나는 산책로를 따라 사진을 찍으며 가족들의 모습을 담았다. 집에 돌아가는 길에는 아빠가 사 준 붕어빵을 나눠 먹으며 따뜻한 기분으로 하루를 마무리했다.",발화에서 가족들이 공원에서 먹은 간식은 무엇이었나요?,잘 모르겠음,귤,사과,감자칩,2,귤,0,day4block2/mixture/day4block2_stimulus5.wav
6,487,Jake,Athena,"도서관에서 밤늦게까지 과제를 하다가 우연히 동아리 친구 민지를 만났다. 서로 각자 힘들었던 하루에 대해 조용히 털어놓으며, 따뜻한 커피를 나눠 마셨다. 민지가 내 고민을 진지하게 들어주고 작은 농담도 건네줘서 갑자기 마음이 한결 가벼워졌다. 그날 이후로 민지와는 더 자주 연락하고 함께 시간을 보내게 되었고, 자연스럽게 서로를 의지하는 사이가 된 것 같다. 소소한 일상이지만 이런 인연이 대학생활을 더 특별하게 만들어 주는 것 같다.",화자가 도서관에서 민지와 함께 무엇을 하며 마음이 가벼워졌다고 했나요?,잘 모르겠음,같이 운동을 했다,따뜻한 커피를 나눠 마시며 대화를 나눴다,함께 노래를 불렀다,3,따뜻한 커피를 나눠 마시며 대화를 나눴다,0,day4block2/mixture/day4block2_stimulus6.wav
7,88,Icarus,Brad,"오늘은 평소와 다르게 강아지 '초코'와 함께 집 근처 산책로가 아닌 조금 멀리 있는 강변 공원까지 걸어갔다. 초코는 처음 보는 오리 떼를 보고 신기해하며 꼬리를 흔들었고, 나는 벤치에 앉아 간식을 나눠 먹으며 초코와 잠시 쉬었다. 초코가 잔디밭을 뛰어다니는 모습을 보고 있자니 바쁜 일상 속에서 소소한 행복을 다시 느끼게 되었다.",화자가 오늘 강아지 초코와 특별히 산책한 장소는 어디였나요?,잘 모르겠음,아파트 놀이터,집 근처 슈퍼마켓,강변 공원,4,강변 공원,0,day4block2/mixture/day4block2_stimulus7.wav
8,280,Catherine,Amber,"며칠 전, 내가 직접 만든 도자기 컵을 친구들에게 선물했더니 모두가 정말 예쁘다고 칭찬해줬다. 처음에는 흙을 만지는 게 서툴러서 컵 모양도 삐뚤빼뚤했지만, 여러 번 시도하면서 점점 손에 익었다. 유약을 바르고 가마에서 구워진 결과물을 보았을 때, 뿌듯함이 컸다. 친구들이 내 컵을 사용하며 사진을 보내줬을 때 작은 자부심도 느꼈다. 앞으로 더 다양한 작품을 만들어보고 싶다는 생각이 들었다.",화자가 성취감을 느낀 직접 만든 물건은 무엇이었나요?,잘 모르겠음,도자기 컵,손뜨개 목도리,나무로 만든 액자,2,도자기 컵,0,day4block2/mixture/day4block2_stimulus8.wav
9,488,Liz,Owen,"몇 해 전, 친구들과 강원도에 위치한 설악산으로 등산을 갔던 기억이 아직도 생생하다. 가을 단풍이 절정을 이룬 시기여서 산 전체가 붉은빛과 노란빛으로 물들어 있었다. 정상에 오르기까지 힘들었지만, 정상에 서서 아래로 펼쳐진 울긋불긋한 산자락과 맑은 하늘, 멀리 보이는 동해 바다를 한눈에 담았을 때 그 아름다움에 숨이 멎을 뻔했다. 특히 정상에서 먹은 김밥 한 조각이 평소보다 훨씬 더 맛있게 느껴졌다.",발화자가 설악산 정상에서 가장 인상 깊게 본 것은 무엇이었나요?,잘 모르겠음,도시의 야경,단풍으로 물든 산과 동해 바다,폭포,3,단풍으로 물든 산과 동해 바다,0,day4block2/mixture/day4block2_stimulus9.wav
10,89,Viktor,George,"며칠 전, 동네에서 열린 등불 축제에 아이와 함께 다녀왔다. 아이가 직접 고른 파란색 등불에 소원을 적어 매달 때, 옆에서 두근거리는 표정이 정말 귀여웠다. 퍼레이드가 시작되자 아이는 손을 흔들며 환하게 웃었고, 집으로 돌아오는 길에 오늘이 가장 행복했다고 말했다. 그 순간을 잊지 못할 것 같다.",아이와 함께 축제에서 어떤 색 등불을 골랐나요?,잘 모르겠음,노란색,파란색,초록색,3,파란색,0,day4block2/mixture/day4block2_stimulus10.wav
