thisRow.t,notes,KOREANid,expId,subj_idx,idx_day,block_idx,half,real_block,trial_in_half,trial_label,resp_idx,stim_idx,audio_file,rms_mix,audio_skipped,Group,StorySetIdx,StoryIdx1,StoryIdx2,StoryPair,Condition,AttendedGender,AttendedStory,MaleStory,FemaleStory,attention_rating,question,option1,option2,option3,option4,selected_answer,correct_answer,hit,trial_start_t,audio_onset_t,att_q_onset_t,att_rt,att_resp_t,comp_q_onset_t,comp_rt,comp_resp_t,subject_number,experimenter_id,day,
,,KOREAN001,kistv1,1,1,1,1,1,1,1-1.,1,26,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus26.wav,0.075732,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,어려운 일이 있었던 화자는 가족들과 무엇을 하며 위안을 받았나요?,잘 모르겠음,같이 운동을 했다,거실에서 이야기를 나눴다,외식을 하러 나갔다,2,3,0,2.1089,5.1089,14.3941,1.2243,15.6184,15.6315,1.4567,17.0882,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,2,1-2.,2,25,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus25.wav,0.075274,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,화자가 감기에 걸렸을 때 어머니가 해주신 행동이 아닌 것은 무엇인가요?,잘 모르겠음,따뜻한 죽을 끓여 주셨다,이불을 정성스럽게 덮어주셨다,감기에 좋은 약을 사오셨다,2,4,0,18.1091,21.1091,21.1223,0.5559,21.6782,21.6876,0.2183,21.9059,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,3,1-3.,3,23,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus23.wav,0.069128,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,내가 공원에서 마음이 차분해지는 데 도움이 된다고 언급한 것은 무엇인가요?,잘 모르겠음,공원의 커피숍,연못 풍경과 음악,운동 기구,2,3,0,22.9158,25.9158,25.9323,0.0002,25.9325,25.959,0.4596,26.4187,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,4,1-4.,4,7,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus07.wav,0.071672,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,산책 도중 아버지는 자신의 어린시절 꿈이 무엇이었다고 이야기했나요?,잘 모르겠음,운동선수,사진작가,작곡가,2,3,0,27.4424,30.4424,31.1149,0.0001,31.1151,31.1259,1.6527,32.7786,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,5,1-5.,5,1,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus01.wav,0.07993,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화자가 어머니와 공방에서 만든 도자기 컵에 사용한 유약의 색깔은 무엇이었나요?,잘 모르겠음,초록색,파란색,노란색,2,3,0,33.7911,36.7912,36.8005,0.0001,36.8006,36.8091,1.2646,38.0736,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,6,1-6.,6,15,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus15.wav,0.075231,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,처음 수영장에 들어갔을 때 내가 사용한 도구는 무엇이었나요?,잘 모르겠음,구명 튜브,수경,오리발,3,2,0,39.0845,42.0845,42.094,0.8403,42.9343,42.9412,2.0165,44.9577,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,7,1-7.,7,30,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus30.wav,0.075801,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,발화자가 제주도 여행에서 친구들과 함께 무엇을 먹으며 이야기꽃을 피웠나요?,잘 모르겠음,갈치구이,흑돼지,전복죽,3,3,1,45.969,48.969,48.9781,0.7358,49.7139,49.7227,0.5309,50.2536,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,8,1-8.,8,3,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus03.wav,0.070978,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,여행 중에 친구들과 무엇을 먹었다고 했나요?,잘 모르겠음,김밥,바비큐,라면,2,2,1,51.2627,54.2627,55.6192,0.7095,56.3287,56.335,0.2485,56.5834,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,9,1-9.,9,9,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus09.wav,0.072364,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,대회 준비 마지막 일주일 동안 어떤 점에 중점을 두어 훈련했나요?,잘 모르겠음,기초 체력만 집중적으로 키웠다.,기술 연습만 반복했다.,체력과 팀워크를 동시에 끌어올렸다.,2,4,0,57.592,60.592,61.8911,0.5127,62.4038,62.4143,0.2072,62.6214,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,10,1-10.,10,18,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus18.wav,0.070689,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,발화에서 화자는 어떻게 휴식을 취했나요?,잘 모르겠음,산책을 했다,소파에 누워 낮잠을 잤다,음악을 들었다,3,3,1,63.6425,66.6426,66.6519,0.9273,67.5792,67.5862,0.2785,67.8647,1,KISTv1,1,
