thisRow.t,notes,KOREANid,expId,subj_idx,idx_day,block_idx,half,real_block,trial_in_half,trial_label,resp_idx,stim_idx,audio_file,rms_mix,audio_skipped,Group,StorySetIdx,StoryIdx1,StoryIdx2,StoryPair,Condition,AttendedGender,AttendedStory,MaleStory,FemaleStory,attention_rating,question,option1,option2,option3,option4,selected_answer,correct_answer,hit,trial_start_t,audio_onset_t,att_q_onset_t,att_rt,att_resp_t,comp_q_onset_t,comp_rt,comp_resp_t,subject_number,experimenter_id,day,
,,KOREAN001,kistv1,1,1,1,1,1,1,1-1.,1,8,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus08.wav,0.069,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화에서 화자가 민수와 어디에서 몰래 짧게 인사를 나눴다고 했나요?,잘 모르겠음,학교 교실에서,학교 운동장에서,학교 복도에서,2,3,0,2.0491,5.0491,13.5842,1.0977,14.6819,14.6917,0.6814,15.3732,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,2,1-2.,2,4,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus04.wav,0.076312,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,1,대화 중 아버지가 꺼낸 화자의 어린 시절 추억은 무엇이었나요?,잘 모르겠음,해변에서 놀던 기억,등산을 함께 갔던 일,동물원에 갔던 날,2,3,0,16.3878,19.3878,20.2451,0.9766,21.2217,21.2307,1.191,22.4216,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,3,1-3.,3,7,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus07.wav,0.071672,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,산책 도중 아버지는 자신의 어린시절 꿈이 무엇이었다고 이야기했나요?,잘 모르겠음,운동선수,사진작가,작곡가,3,3,1,23.4337,26.4337,32.9512,0.7056,33.6567,33.6653,0.3663,34.0316,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,4,1-4.,4,17,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus17.wav,0.075457,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,할아버지가 홍수 때 잃어버린 물건은 무엇이었나요?,잘 모르겠음,우산,연필,손수건,3,3,1,35.0405,38.0405,40.1053,0.7066,40.812,40.8188,0.6531,41.4719,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,5,1-5.,5,30,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus30.wav,0.075801,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화자가 제주도 여행에서 친구들과 함께 무엇을 먹으며 이야기꽃을 피웠나요?,잘 모르겠음,갈치구이,흑돼지,전복죽,2,3,0,42.4817,45.4817,45.491,0.5561,46.0471,46.0559,0.3208,46.3767,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,6,1-6.,6,21,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus21.wav,0.076088,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,발화에서 친구와 함께 찻집에서 주문한 음식과 음료 조합으로 알맞은 것은 무엇인가요?,잘 모르겠음,녹차와 인절미,유자차와 팥죽,아메리카노와 와플,3,3,1,47.399,50.3991,50.799,0.4381,51.2371,51.2459,0.2013,51.4471,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,7,1-7.,7,16,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus16.wav,0.079644,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,발화자의 학교 축제 부스에서 일어난 일로 알맞은 것은 무엇인가요?,잘 모르겠음,발화자는 음식 먹는 부스에서 일했다.,발화자는 솜사탕 기계 작동에 처음엔 서툴렀다.,발화자는 친구들에게 솜사탕을 선물했다.,2,3,0,52.4567,55.4567,56.3343,0.2581,56.5924,56.6027,0.1505,56.7532,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,8,1-8.,8,11,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus11.wav,0.076009,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,발화자의 발표 연습을 도와준 사람은 누구였나요?,잘 모르겠음,팀장님,동료,가족,2,3,0,57.7631,60.7631,60.774,0.379,61.153,61.1597,0.151,61.3106,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,9,1-9.,9,6,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus06.wav,0.07585,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,화자가 인생을 바꾸는 계기가 된 특별한 대화를 나눈 장소는 어디였습니까?,잘 모르겠음,도서관,카페,바닷가,3,4,0,62.3327,65.3327,66.2345,0.235,66.4695,66.4777,0.1944,66.6721,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,10,1-10.,10,24,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus24.wav,0.07216,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,발화자가 제주도 여행에서 엄마와 특별하게 먹었던 음식은 무엇이었나요?,잘 모르겠음,고등어구이,갈치조림,제주 흑돼지,2,3,0,67.6824,70.6824,71.4826,0.2297,71.7123,71.7197,0.1505,71.8702,1,KISTv1,1,
