thisRow.t,notes,KOREANid,expId,subj_idx,idx_day,block_idx,half,real_block,trial_in_half,trial_label,resp_idx,stim_idx,audio_file,rms_mix,audio_skipped,Group,StorySetIdx,StoryIdx1,StoryIdx2,StoryPair,Condition,AttendedGender,AttendedStory,MaleStory,FemaleStory,attention_rating,question,option1,option2,option3,option4,selected_answer,correct_answer,hit,trial_start_t,audio_onset_t,att_q_onset_t,att_rt,att_resp_t,comp_q_onset_t,comp_rt,comp_resp_t,subject_number,experimenter_id,day,
,,KOREAN001,kistv1,1,1,1,1,1,1,1-1.,1,11,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus11.wav,0.076009,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화자의 발표 연습을 도와준 사람은 누구였나요?,잘 모르겠음,팀장님,동료,가족,2,3,0,2.6158,5.6158,6.9767,0.7081,7.6848,7.6932,0.6389,8.3321,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,2,1-2.,2,30,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus30.wav,0.075801,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화자가 제주도 여행에서 친구들과 함께 무엇을 먹으며 이야기꽃을 피웠나요?,잘 모르겠음,갈치구이,흑돼지,전복죽,2,3,0,9.3486,12.3486,12.3579,0.4593,12.8172,12.8265,0.1688,12.9952,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,3,1-3.,3,5,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus05.wav,0.066497,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화자가 낯선 도시에서 숙소 위치를 다시 알 수 있었던 가장 큰 이유는 무엇이었나요?,잘 모르겠음,근처 경찰서에 도움을 요청해서,카페 직원이 충전기를 제공해서,현지인에게 길을 물어서,2,3,0,14.0042,17.0042,17.0132,0.0001,17.0134,17.0244,0.351,17.3755,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,4,1-4.,4,17,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus17.wav,0.075457,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,할아버지가 홍수 때 잃어버린 물건은 무엇이었나요?,잘 모르겠음,우산,연필,손수건,2,3,0,18.384,21.3841,21.3938,0.0001,21.3939,21.4009,0.3699,21.7707,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,5,1-5.,5,7,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus07.wav,0.071672,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,산책 도중 아버지는 자신의 어린시절 꿈이 무엇이었다고 이야기했나요?,잘 모르겠음,운동선수,사진작가,작곡가,2,3,0,22.7801,25.7802,25.7891,0.0001,25.7892,25.7975,0.1672,25.9646,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,6,1-6.,6,27,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus27.wav,0.070898,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,"파리에서 길을 잃었을 때, 만난 한국인 유학생이 해준 일로 옳은 것은 무엇인가요?",잘 모르겠음,같이 쇼핑을 해줬다,지도를 보며 목적지까지 안내해줬다,현지 투어를 예약해줬다,2,3,0,26.9824,29.9825,30.8308,0.0001,30.8309,30.8491,0.3039,31.153,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,7,1-7.,7,1,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus01.wav,0.07993,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화자가 어머니와 공방에서 만든 도자기 컵에 사용한 유약의 색깔은 무엇이었나요?,잘 모르겠음,초록색,파란색,노란색,2,3,0,32.1613,35.1614,35.1705,0.0001,35.1707,35.179,0.6535,35.8324,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,8,1-8.,8,19,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus19.wav,0.076192,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화 속에서 내가 루이스와 처음 함께 하게 된 계기는 무엇이었나요?,잘 모르겠음,같은 숙소에서 만났기 때문,길을 헤매고 있을 때 도움을 받았기 때문,같은 투어에 참여했기 때문,2,3,0,36.841,39.8411,39.8558,0.0001,39.8559,39.8655,0.5203,40.3858,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,9,1-9.,9,6,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus06.wav,0.07585,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,화자가 인생을 바꾸는 계기가 된 특별한 대화를 나눈 장소는 어디였습니까?,잘 모르겠음,도서관,카페,바닷가,2,4,0,41.3946,44.3946,44.4039,0.0002,44.4041,44.4118,0.5261,44.9379,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,10,1-10.,10,9,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus09.wav,0.072364,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,대회 준비 마지막 일주일 동안 어떤 점에 중점을 두어 훈련했나요?,잘 모르겠음,기초 체력만 집중적으로 키웠다.,기술 연습만 반복했다.,체력과 팀워크를 동시에 끌어올렸다.,2,4,0,45.9466,48.9466,48.9557,0.7614,49.7171,49.726,0.9349,50.6609,1,KISTv1,1,
