thisRow.t,notes,KOREANid,expId,subj_idx,idx_day,block_idx,half,real_block,trial_in_half,trial_label,resp_idx,stim_idx,audio_file,rms_mix,audio_skipped,Group,StorySetIdx,StoryIdx1,StoryIdx2,StoryPair,Condition,AttendedGender,AttendedStory,MaleStory,FemaleStory,attention_rating,question,option1,option2,option3,option4,selected_answer,correct_answer,hit,trial_start_t,audio_onset_t,att_q_onset_t,att_rt,att_resp_t,comp_q_onset_t,comp_rt,comp_resp_t,subject_number,experimenter_id,day,
,,KOREAN001,kistv1,1,1,1,1,1,1,1-1.,1,2,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus02.wav,0.075588,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,숙소 주인 할머니가 비를 피해 들어온 화자에게 무엇을 나눠주셨나요?,잘 모르겠음,군밤,고구마,찐 옥수수,3,3,1,2.444,5.4441,36.8345,1.5382,38.3728,38.3879,3.09,41.4778,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,2,1-2.,2,24,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus24.wav,0.07216,0,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,발화자가 제주도 여행에서 엄마와 특별하게 먹었던 음식은 무엇이었나요?,잘 모르겠음,고등어구이,갈치조림,제주 흑돼지,3,3,1,42.494,45.494,79.5284,2.9325,82.4609,82.477,0.8354,83.3124,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,3,1-3.,3,20,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus20.wav,0.067262,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,화자가 엽서를 그릴 때 느낀 기분에 대한 설명으로 알맞은 것은 무엇인가요?,잘 모르겠음,지루함을 느꼈다.,잡생각이 많아졌다.,색을 고르는 과정에서 기분이 좋아졌다.,2,4,0,84.323,87.323,87.3325,1.4558,88.7883,88.8036,1.5284,90.332,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,4,1-4.,4,16,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus16.wav,0.079644,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화자의 학교 축제 부스에서 일어난 일로 알맞은 것은 무엇인가요?,잘 모르겠음,발화자는 음식 먹는 부스에서 일했다.,발화자는 솜사탕 기계 작동에 처음엔 서툴렀다.,발화자는 친구들에게 솜사탕을 선물했다.,2,3,0,91.3449,94.345,94.3545,0.9289,95.2833,95.2944,0.4836,95.778,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,5,1-5.,5,6,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus06.wav,0.07585,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,화자가 인생을 바꾸는 계기가 된 특별한 대화를 나눈 장소는 어디였습니까?,잘 모르겠음,도서관,카페,바닷가,2,4,0,96.7874,99.7874,113.3989,0.0001,113.399,113.412,1.7008,115.1128,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,6,1-6.,6,26,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus26.wav,0.075732,0,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,어려운 일이 있었던 화자는 가족들과 무엇을 하며 위안을 받았나요?,잘 모르겠음,같이 운동을 했다,거실에서 이야기를 나눴다,외식을 하러 나갔다,3,3,1,116.1246,119.1247,153.1373,10.9967,164.134,164.1503,0.9884,165.1387,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,7,1-7.,7,19,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus19.wav,0.076192,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화 속에서 내가 루이스와 처음 함께 하게 된 계기는 무엇이었나요?,잘 모르겠음,같은 숙소에서 만났기 때문,길을 헤매고 있을 때 도움을 받았기 때문,같은 투어에 참여했기 때문,2,3,0,166.1513,169.1513,170.2207,0.9028,171.1234,171.1364,0.167,171.3034,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,8,1-8.,8,8,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus08.wav,0.069,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,2,발화에서 화자가 민수와 어디에서 몰래 짧게 인사를 나눴다고 했나요?,잘 모르겠음,학교 교실에서,학교 운동장에서,학교 복도에서,4,3,0,172.3287,175.3287,177.4198,0.0001,177.4199,177.4291,0.3546,177.7837,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,9,1-9.,9,10,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus10.wav,0.075138,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,4,화자는 제주도에서 어떤 상황을 통해 여행의 의미에 대해 깨달았나요?,잘 모르겠음,맛집을 방문하다가,등산을 하다가,낯선 사람과 이야기를 나누다가,3,4,0,178.7954,181.7954,184.7567,0.0001,184.7568,184.7679,0.4401,185.2081,1,KISTv1,1,
,,KOREAN001,kistv1,1,1,1,1,1,10,1-10.,10,12,/Users/jeewon/PycharmProjects/SNUexp/Stimuli/day1block1/mixture/day1block1_stimulus12.wav,0.070802,1,1,1,1,2,2-Jan,M1F2,Male,1,1,2,3,친구와의 대화에서 화자가 얻게 된 깨달음은 무엇이었나요?,잘 모르겠음,불안이 누구에게나 있을 수 있다는 것이었다.,카페에서 공부하기가 어렵다는 것이었다.,친구가 자신을 질투하고 있었다는 것이었다.,3,2,0,186.2294,189.2294,193.7886,0.0002,193.7888,193.7994,0.3498,194.1492,1,KISTv1,1,
