stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db,output_wav_path
1,23,Ryan,Bruce,"친구들과 고기집에 갔던 날이 아직도 기억난다. 평소 자주 가던 곳이 아니라 기대가 컸는데, 테이블에 앉자마자 불판에서 심한 탄내가 났다. 직원에게 불판 교체를 부탁했지만, 새로 가져온 불판도 깨끗하지 않았다. 고기를 구우니 기름이 제대로 빠지지 않아 계속 타고, 결국 고기 맛도 이상했다. 게다가 환풍기가 제대로 작동하지 않아 연기가 자꾸 눈에 들어가서 제대로 식사도 못했다. 결국 우리는 고기를 반쯤 남긴 채 자리를 나올 수밖에 없었고, 모두 불쾌한 기분으로 집에 돌아왔다.",이 발화에서 고기집을 이용한 사람들이 불쾌해했던 이유가 아닌 것은 무엇인가요?,잘 모르겠음,불판에서 심한 탄내가 났던 점,환풍기가 제대로 작동하지 않았던 점,음식이 너무 매워서 먹지 못했던 점,4,음식이 너무 매워서 먹지 못했던 점,0,day2block1/mixture/day2block1_stimulus1.wav
2,224,Paige,Kelsey,"몇 달 전부터 아침마다 음악을 듣는 습관이 생겼다. 처음에는 무작위로 플레이리스트를 틀었는데, 최근엔 기분에 따라 곡을 고른다. 오늘은 어제 늦게 자서 피곤했기 때문에, 잔잔한 피아노 연주곡을 틀었다. 덕분에 조용히 머리를 깨우며 커피를 마실 수 있었고, 출근 준비도 한결 차분하게 할 수 있었다. 활기찬 팝송보다 이런 잔잔한 곡이 아침에는 더 잘 어울린다는 걸 새삼 느꼈다.",오늘 아침 내가 선택한 음악의 장르는 무엇이었나요?,잘 모르겠음,록 밴드 음악,피아노 연주곡,활기찬 팝송,3,피아노 연주곡,0,day2block1/mixture/day2block1_stimulus2.wav
3,423,Edward,Riley,"며칠 전부터 읽기 시작한 소설 덕분에 요즘 집에서도 여행하는 기분을 만끽하고 있다. 책 속 주인공이 낯선 해변 마을을 걷는 장면을 읽을 때면 바닷바람 소리가 귓가에 들리는 듯했고, 길모퉁이 작은 카페에서 커피를 마시는 묘사를 보며 나도 그곳에 함께 있는 느낌이 들었다. 직접 떠나지 못해도 책 한 권이면 충분히 새로운 세상을 경험할 수 있다는 사실이 새삼 감사하게 느껴졌다.",책을 읽으며 화자가 가장 크게 느낀 점은 무엇이었나요?,잘 모르겠음,주인공이 여행을 많이 다녔다는 사실,책 한 권이면 충분히 새로운 세상을 경험할 수 있다는 사실,카페에서 커피를 마시는 장면이 재미있었다는 점,3,책 한 권이면 충분히 새로운 세상을 경험할 수 있다는 사실,0,day2block1/mixture/day2block1_stimulus3.wav
4,24,Icarus,Dean,"며칠 전 갑작스럽게 직장에서 큰 프로젝트를 맡게 되어 부담감이 컸다. 평소 스트레스를 풀기 위해 즐겨 그리던 수채화 물감과 붓을 꺼내 조용히 앉아 그림을 그리기 시작했다. 집중하며 색을 입히다 보니 마음이 한결 가라앉았고, 머릿속이 맑아져 다시 일에 자신감을 얻을 수 있었다. 취미인 그림 덕분에 이번에도 큰 위기를 잘 넘겼다.",직장에서 큰 부담을 느꼈을 때 화자는 어떤 취미를 통해 마음을 다잡았나요?,잘 모르겠음,요리,수채화 그림 그리기,조깅,3,수채화 그림 그리기,0,day2block1/mixture/day2block1_stimulus4.wav
5,225,Catherine,Viqqie,"졸업식 날, 체육관에 들어서자 친구들의 얼굴이 하나씩 보였고, 평소 장난만 치던 민수가 조용히 울고 있는 걸 처음 봤다. 교장 선생님의 말씀과 함께 사진을 찍으면서도 마음 한편이 울컥했다. 담임 선생님이 마지막으로 건네준 따뜻한 포옹 덕분에 그동안 쌓였던 감정이 터져 눈물이 나고 말았다. 서로 손을 꼭 잡고 ‘고마웠다’는 인사를 나누는 순간, 헤어짐이 현실로 다가와 모두가 울음을 터뜨렸다.",발화에서 졸업식 날 조용히 울고 있던 사람은 누구인가요?,잘 모르겠음,민수,담임 선생님,교장 선생님,2,민수,0,day2block1/mixture/day2block1_stimulus5.wav
6,425,CaptainBill,Riley,"졸업식이 끝난 뒤 강당에서 친구들과 사진을 찍다가 갑자기 눈물이 났다. 평소 장난만 치던 영수도 조용히 손수건을 꺼내 눈을 닦는 모습을 보고 더 참기 힘들었다. 교실로 돌아가는 길에 복도에서 담임 선생님과 마주쳤는데, 평소엔 무뚝뚝하시던 선생님도 붉어진 눈으로 우리를 바라보셨다. 친구들과 마지막으로 교실 책상에 이름을 적으며 서로의 손을 꼭 잡았던 그 순간이 아직도 잊히지 않는다.",졸업식 날 담임 선생님은 학생들에게 어떤 모습을 보였나요?,잘 모르겠음,환하게 웃으셨다,붉어진 눈으로 바라보셨다,학생들과 사진을 찍으셨다,3,붉어진 눈으로 바라보셨다,0,day2block1/mixture/day2block1_stimulus6.wav
7,25,Chase,Callan,"며칠 전부터 배구부 친구들과 함께 교내 대회를 준비하느라 아침마다 일찍 모여 체육관에서 연습을 했다. 체력이 부족해서 초반에는 금방 지쳤지만, 서로 격려하면서 동기부여가 많이 됐다. 시합 당일에는 긴장감이 커서 평소보다 실수도 있었지만, 마지막 세트에서 내가 서브에이스를 성공시켜서 모두가 기뻐했다. 그 경험 덕분에 팀워크가 더 끈끈해진 것 같아 뿌듯했다.",대회 준비 과정에서 발화자가 특별히 아침마다 했던 일은 무엇이었나요?,잘 모르겠음,체육관에서 친구들과 연습함,혼자 도서관에서 공부함,음악실에서 악기 연습함,2,체육관에서 친구들과 연습함,0,day2block1/mixture/day2block1_stimulus7.wav
8,226,Catherine,Hailey,"며칠 전에 오랜만에 중학교 때 친구와 연락이 닿았다. 서로의 소식을 주고받으면서 예전처럼 웃고 떠들었지만, 막상 만나자고 약속을 잡으려니 마음이 복잡해졌다. 예전에 그 친구와 작은 오해로 서운했던 기억이 자꾸 떠올라서 솔직하게 내 감정을 전해야 할지, 그냥 아무 일 없던 척 예전처럼 지내야 할지 고민이 깊어졌다. 결국 이번에는 약속을 미뤘지만, 언젠가 솔직하게 대화할 용기를 내보고 싶다.",발화자는 오랜만에 연락이 닿은 친구와 약속을 어떻게 했나요?,잘 모르겠음,즉시 만나기로 했다,약속을 미뤘다,바로 감정을 털어놨다,3,약속을 미뤘다,0,day2block1/mixture/day2block1_stimulus8.wav
9,426,Carl,Vivien,"며칠 전부터 반 친구들과 체육관에서 열릴 축제 준비를 시작했다. 우리는 벽면 장식과 포스터를 직접 만들고, 역할을 나눠 연극 연습에도 매일매일 힘썼다. 특히 무대 배경을 꾸미는 작업이 쉽지 않았지만, 의견을 모아 밤늦게까지 협력했다. 덕분에 축제 당일에는 많은 학생들이 우리 부스와 연극 무대에 모여 큰 박수를 보내줬고, 선생님께서도 노력에 칭찬을 아끼지 않으셨다.",우리 반이 축제 준비 과정에서 특히 힘들었던 일은 무엇이었나요?,잘 모르겠음,음식 준비를 하는 일이었다.,연극 대본을 쓰는 일이었다.,무대 배경을 꾸미는 일이었다.,4,무대 배경을 꾸미는 일이었다.,0,day2block1/mixture/day2block1_stimulus9.wav
10,26,SantaClaus,DollarJr,"친구들과 동물원에 갔을 때, 기린 우리 앞에서 우산을 펼쳐 사진을 찍고 있었어요. 갑자기 기린 한 마리가 제 우산에 호기심을 보이더니 목을 길게 뻗어 우산 꼭지 부분을 살짝 핥았어요. 모두가 깜짝 놀라 웃음이 터졌고, 저는 기린의 거대한 혀가 이렇게 부드러운 줄 처음 알았어요. 그날 이후 우산을 펼 때마다 그 순간이 떠오르곤 해요.",동물원에서 어떤 동물이 우산 꼭지 부분을 핥았나요?,잘 모르겠음,코끼리,기린,원숭이,3,기린,0,day2block1/mixture/day2block1_stimulus10.wav
11,227,Jodie,Paige,"주말마다 다니는 도예 공방에서 늘 조용히 작업만 하던 분이 어느 날 저에게 다가와서 자신이 만든 머그잔을 선물해주셨어요. 그분은 평소 말이 없지만, 작품에 담긴 따뜻함이 느껴졌어요. 그날 이후로 우리는 각자 만든 도자기에 대해 이야기하며 자연스럽게 가까워졌고, 서로의 작업 방식도 공유하게 되었죠. 특히 그분이 도자기에 새기는 작은 무늬에 얽힌 이야기를 듣고 감동받았던 기억이 아직도 남아있어요.",도예 공방에서 화자가 감동받은 특별한 점은 무엇이었나요?,잘 모르겠음,머그잔의 색깔,도자기에 새기는 무늬에 얽힌 이야기,공방의 역사,3,도자기에 새기는 무늬에 얽힌 이야기,0,day2block1/mixture/day2block1_stimulus11.wav
12,427,Henry,Alex,"등굣길에 비가 많이 내리던 어느 날, 우산을 깜빡하고 챙기지 않아 학교까지 젖은 채 걸어가야 할 상황이었다. 그때 평소 말이 적었던 반 친구 민수가 다가와 자신의 우산을 함께 쓰자고 해줬다. 평소엔 크게 대화하지 않았던 민수였지만, 그날 이후 우리는 조금씩 서로의 이야기를 나누며 가까워졌다. 시험이 끝난 후엔 같이 매점에 가서 떡볶이를 사 먹기도 했고, 서로의 고민을 털어놓는 사이가 되었다. 민수와의 우정 덕분에 학교생활이 한층 더 따뜻하게 느껴졌다.",발화자가 민수와 가까워지게 된 계기는 무엇이었나요?,잘 모르겠음,함께 시험공부를 했기 때문,같이 운동을 하면서 친해졌기 때문,비 오는 날 우산을 같이 썼기 때문,4,비 오는 날 우산을 같이 썼기 때문,0,day2block1/mixture/day2block1_stimulus12.wav
